# age (Ma,)	GAST (Grossman&Joachimsky, 2022)
348	18.84949818
349	19.70377
350	20.50963273
351	21.26708636
352	21.97613091
353	22.73052636
354	23.82037636
355	24.88567091
356	25.92643
357	26.78747364
358	27.56909182
359	28.39842727
360	28.95884
361	29.53985
362	30.16858727
363	30.57175182
364	31.03475909
365	31.59253909
366	32.22320182
367	32.94484727
368	33.08969545
369	32.83011545
370	32.18248727
371	32.25124091
372	32.71490636
373	33.23469364
374	33.04883182
375	32.87456091
376	32.31675091
377	31.41870182
378	30.26579364
379	29.67693091
380	29.16032364
381	28.60826182
382	28.24240545
383	27.99101455
384	27.74848727
385	27.51483364
386	27.35766364
387	27.40019727
388	27.45158455
389	27.50160818
390	27.64640818
391	27.81482455
392	27.98186727
393	28.14755636
394	28.30757091
395	28.44232091
396	28.54910636
397	28.62794727
398	28.78186364
399	29.03458545
400	29.30435273
401	29.59116545
402	29.89174364
403	30.20765727
404	30.45675273
405	30.62614
406	30.67318909
407	30.65343
408	30.56684273
409	30.58594727
410	30.69722364
411	30.86123182
412	31.13093182
413	31.52424364
414	31.95473909
415	32.33408818
416	32.06753091
417	31.56618727
418	30.63161727
419	29.71544636
420	28.69785455
421	27.63871182
422	26.67566818
423	25.92848364
424	26.60613545
425	27.35165364
426	26.99771818
427	24.38024909
428	24.26782636
429	24.80698091
430	25.27387273
431	25.76619182
432	27.16714818
433	28.99133182
434	30.00466727
435	30.39146455
436	30.68185364
437	29.91910455
438	29.04140727
439	27.90963727
440	26.40558455
441	24.63201909
442	22.80302091
443	21.5854
444	21.52472636
445	22.82635
446	23.99346091
447	25.24569909
448	26.31062455
449	27.05634
450	27.32155545
451	27.31678091
452	27.04199636
453	26.55592182
454	26.33609909
455	26.56433818
456	26.95632909
457	27.53162182
458	28.21167636
459	28.90465273
460	29.60581091
461	30.31403091
462	31.00999273
463	31.71413636
464	32.41829
465	33.12243364
466	33.71247727
467	34.29443091
468	34.87637455
469	35.45287364
470	36.02391818
471	36.49979818
472	36.96538364
473	37.42550455
474	37.88563545
475	38.28371636
476	38.58758727
477	38.89145818
478	39.21202909
479	39.50960727
480	40.691255
481	41.162633
482	41.672271
483	42.166069
484	42.655257
485	43.144455
486	43.643643
487	44.08834
488	44.530793
489	45.001375
490	45.458604
491	45.905843
492	46.353082
493	46.800311
494	47.240538

	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
