> LONGITUDE (MIN.),	LATITUDE (MIN.), age
108	27	2214
108	27	1751
108	27	970
108	27	1271
108	27	2149
108	27	2239
108	27	2191
108	27	712
108	27	1243
108	27	2257
108	27	2212
108	27	1522
108	27	2183
108	27	2196
108	27	1229
108	27	2188
108	27	2145
108	27	1072
108	27	1055
108	27	2199
108	27	2238
108	27	2374
108	27	274
108	27	2178
108	27	1339
108	27	1649
108	27	2259
108	27	2265
108	27	1211
108	27	1119
108	27	2205
108	27	474
108	27	2236
108	27	1716
108	27	1775
108	27	275
108	27	1767
108	27	1108
108	27	1176
108	27	261
108	27	1706
108	27	283
108	27	277
108	27	722
108	27	921
108	27	2084
108	27	1810
108	27	2206
108	27	2157
108	27	1817
108	27	1036
108	27	266
108	27	2033
108	27	289
108	27	1462
108	27	796
108	27	706
108	27	1818
108	27	1791
108	27	952
108	27	719
108	27	2027
108	27	2078
108	27	954
108	27	276
108	27	1649
108	27	2122
108	27	1982
108	27	768
108	27	842
108	27	270
108	27	1642
108	27	1141
108	27	1382
108	27	276
108	27	275
108	27	2217
108	27	1978
108	27	2188
108	27	794
108	27	1815
108	27	1340
108	27	1861
108	27	1643
108	27	269
108	27	1726
108	27	1618
108	27	916
108	27	1095
108	27	274
108	27	1804
108	27	2058
108	27	1985
108	27	2174
108	27	808
108	27	1341
108	27	271
108	27	274
108	27	2115
108	27	2120
108	27	2024
108	27	1501
108	27	2098
108	27	1140
108	27	1293
108	27	2107
108	27	1778
108	27	278
108	27	2205
108	27	260
108	27	1710
108	27	1804
108	27	2361
108	27	995
108	27	721
108	27	1703
108	27	353
108	27	339
108	27	263
108	27	1200
108	27	1532
108	27	1643
108	27	557
108	27	268
108	27	1487
108	27	1712
108	27	767
108	27	1796
108	27	2172
108	27	2149
108	27	2231
108	27	1769
108	27	2184
108	27	1695
108	27	1922
108	27	2146
108	27	841
108	27	1793
108	27	983
108	27	1254
108	27	1909
108	27	2023
108	27	986
108	27	1171
108	27	1777
108	27	1975
108	27	2228
108	27	1000
108	27	1554
108	27	2158
108	27	1716
108	27	2139
108	27	1979
108	27	2203
108	27	954
108	27	284
108	27	290
108	27	899
108	27	689
108	27	264
124.9711	-17.4402	21.97
124.7282	-17.4572	23.01
124.8154	-17.4877	21.64
124.803	-17.5187	21.83
124.8591	-17.5638	22.47
124.9274	-17.6139	20.99
124.8847	-17.6297	22.05
124.9663	-17.6883	21.39
125.3992	-17.7512	20.34
125.8884	-17.8205	20.24
124.5776	-17.8573	21.29
124.3169	-17.9569	19.68
124.3169	-17.9569	19.25
124.7982	-18.1872	21.02
124.7982	-18.1872	20.3
124.8209	-18.3706	20.3
124.8725	-18.3914	20.71
124.7369	-18.4135	20.07
124.7933	-18.4281	19.84
124.8603	-18.5294	20.14
124.8603	-18.5294	20.4
124.5644	-18.5808	19.56
124.8665	-18.3099	17.477
124.8665	-18.3099	17.508
124.8665	-18.3099	17.49
124.8665	-18.3099	17.349
