87	-115.646	56.894	Canada
87	-115.657	56.656	Canada
88	-113.242	57.343	Canada
88	-114.842	56.955	Canada
88	-115.636	56.974	Canada
88	-92.168	73.575	Canada
89	-113.088	57.442	Canada
89	-114.826	56.915	Canada
89	-79.045	40.708	United States
89	-82.981	38.128	United States
89	-82.996	38.126	United States
90	-114.855	56.947	Canada
90	-114.870	56.843	Canada
90	-114.913	56.862	Canada
90	-115.662	56.784	Canada
90	-115.751	56.777	Canada
90	-115.864	56.704	Canada
90	-115.865	56.831	Canada
90	-115.872	56.862	Canada
90	-115.873	56.702	Canada
92	-115.423	56.848	Canada
92.4	24.652	-28.370	South Africa
93	-115.123	56.974	Canada
94	-104.601	53.479	Canada
94	-104.608	53.482	Canada
94	-104.609	53.471	Canada
94	-104.623	53.474	Canada
94	-104.625	53.484	Canada
94	-104.632	53.491	Canada
94	-104.653	53.500	Canada
94	-104.662	53.507	Canada
94	-104.669	53.511	Canada
94	-104.676	53.508	Canada
94	-104.677	53.511	Canada
94	-104.748	53.231	Canada
94	-104.766	53.576	Canada
94	-104.777	53.265	Canada
94	-104.784	53.274	Canada
94	-104.785	53.285	Canada
94	-104.788	53.251	Canada
94	-104.789	53.230	Canada
94	-104.790	53.258	Canada
94	-104.790	53.289	Canada
94	-105.196	53.430	Canada
94	-115.608	56.920	Canada
94	-115.633	56.978	Canada
95	-115.510	56.656	Canada
96	-90.957	73.520	Canada
96	-92.315	73.472	Canada
96	-92.379	73.369	Canada
96	-92.927	73.334	Canada
96	-93.900	72.860	Canada
96	-94.031	73.134	Canada
96	-94.083	72.833	Canada
99	-90.965	73.475	Canada
99	-91.875	73.303	Canada
99	-91.877	73.301	Canada
99	-91.878	73.308	Canada
99	-91.905	73.294	Canada
99	-91.914	73.304	Canada
99	-91.967	73.291	Canada
99	-91.984	73.303	Canada
99	-91.987	73.285	Canada
99	-92.556	73.467	Canada
99	-92.572	73.315	Canada
99	-93.288	73.503	Canada
99	-94.091	73.118	Canada
100	-104.798	53.259	Canada
100	-104.798	53.360	Canada
100	-104.801	53.237	Canada
100	-104.803	53.262	Canada
100	-104.808	53.292	Canada
100	-104.810	53.269	Canada
100	-104.810	53.278	Canada
100	-104.815	53.238	Canada
100	-104.817	53.245	Canada
100	-104.818	53.284	Canada
100	-104.820	53.293	Canada
100	-104.826	53.341	Canada
100	-104.830	53.206	Canada
100	-104.835	53.308	Canada
100	-104.839	53.296	Canada
100	-104.841	53.976	Canada
100	-104.842	53.331	Canada
100	-104.852	53.986	Canada
100	-104.854	53.703	Canada
100	-104.857	53.346	Canada
100	-104.858	53.336	Canada
100	-104.858	53.341	Canada
100	-104.859	53.303	Canada
100	-104.864	53.259	Canada
100	-104.865	53.306	Canada
100	-104.870	53.267	Canada
100	-104.870	53.380	Canada
100	-104.870	53.396	Canada
100	-104.872	53.374	Canada
100	-104.875	53.276	Canada
100	-104.876	53.390	Canada
100	-104.881	53.351	Canada
100	-104.890	53.305	Canada
100	-104.891	53.285	Canada
100	-104.891	53.290	Canada
100	-104.897	53.296	Canada
100	-104.900	53.365	Canada
100	-104.902	53.401	Canada
100	-104.905	53.272	Canada
100	-104.905	53.409	Canada
100	-104.909	53.440	Canada
100	-104.910	53.408	Canada
100	-104.918	53.393	Canada
100	-104.930	53.400	Canada
100	-104.934	53.362	Canada
100	-104.955	53.444	Canada
100	-104.959	53.476	Canada
100	-104.964	53.489	Canada
100	-104.969	53.436	Canada
100	-105.058	53.474	Canada
100	-105.064	53.465	Canada
100	-105.070	53.574	Canada
100	-105.080	53.476	Canada
100	-105.192	53.403	Canada
