,times,Raw_rift_length,Raw_rift_length_multiplier,yhat_rifts_15,yhat_rifts_21
0,0.0,8160.0,8160,13874.958333333328,18707.5064935065
1,1.0,8540.0,8540,15726.154761904758,19650.227272727276
2,2.0,8540.0,8540,17577.351190476187,20592.948051948057
3,3.0,22934.0,22934,19428.547619047615,21535.668831168834
4,4.0,22804.0,22804,21279.744047619042,22478.389610389615
5,5.0,22804.0,22804,23130.940476190473,23421.110389610392
6,6.0,36191.0,36191,24982.1369047619,24363.831168831173
7,7.0,36191.0,36191,26833.333333333336,25306.55194805195
8,8.0,36191.0,36191,28324.26666666667,26249.27272727273
9,9.0,36191.0,36191,29859.000000000004,27191.99350649351
10,10.0,36191.0,36191,31393.733333333337,28134.714285714275
11,11.0,36191.0,36191,31968.866666666672,29249.047619047604
12,12.0,30524.0,30524,32552.66666666667,30345.285714285703
13,13.0,30524.0,30524,33136.46666666667,31479.61904761904
14,14.0,30524.0,30524,32827.8,32278.666666666657
15,15.0,30524.0,30524,32519.133333333335,33083.90476190475
16,16.0,31561.0,31561,32263.800000000003,33765.33333333332
17,17.0,31561.0,31561,32498.66666666667,33844.285714285696
18,18.0,31561.0,31561,32733.53333333334,33923.23809523808
19,19.0,31561.0,31561,32795.06666666667,33835.523809523795
20,20.0,31561.0,31561,33283.40000000001,33712.80952380951
21,21.0,31561.0,31561,33771.73333333334,33590.09523809523
22,22.0,31561.0,31561,34026.73333333334,33467.38095238095
23,23.0,32361.0,32361,34232.73333333334,33614.5238095238
24,24.0,39714.0,39714,34369.600000000006,33348.85714285714
25,25.0,39714.0,39714,34506.466666666674,33083.190476190466
26,26.0,37114.0,37114,34643.33333333334,32817.5238095238
27,27.0,37849.0,37849,34202.26666666667,32502.476190476176
28,28.0,37849.0,37849,33761.200000000004,32181.95238095237
29,29.0,34349.0,34349,33320.13333333334,31861.428571428565
30,30.0,33614.0,33614,32879.06666666667,31540.904761904752
31,31.0,33614.0,33614,32377.000000000004,31220.38095238094
32,32.0,33614.0,33614,31384.733333333337,30916.5238095238
33,33.0,33614.0,33614,30392.46666666667,30612.66666666666
34,34.0,24945.0,24945,29573.53333333334,30270.714285714275
35,35.0,24945.0,24945,28728.933333333338,29578.61904761904
36,36.0,24945.0,24945,27884.33333333334,28886.523809523802
37,37.0,24945.0,24945,27273.066666666673,28318.238095238088
38,38.0,24830.0,24830,26710.800000000007,27645.42857142856
39,39.0,24830.0,24830,26148.53333333334,26972.619047619035
40,40.0,24830.0,24830,25586.266666666674,26466.476190476176
41,41.0,24830.0,24830,24926.66666666667,25995.33333333332
42,42.0,25180.0,25180,24845.000000000004,25524.19047619046
43,43.0,25180.0,25180,24763.333333333336,25053.047619047607
44,44.0,25180.0,25180,24681.66666666667,24581.90476190475
45,45.0,25180.0,25180,24600.000000000004,24523.571428571417
46,46.0,25180.0,25180,24526.0,24135.71428571428
47,47.0,25180.0,25180,24452.000000000004,23747.857142857134
48,48.0,23720.0,23720,24378.000000000004,23359.99999999999
49,49.0,23720.0,23720,23842.66666666667,22977.61904761904
50,50.0,23720.0,23720,23284.000000000004,22583.333333333325
51,51.0,23720.0,23720,22725.33333333334,22189.04761904761
52,52.0,23720.0,23720,22166.66666666667,21794.761904761897
53,53.0,23720.0,23720,21591.333333333336,21383.809523809516
54,54.0,23720.0,23720,21016.000000000004,20972.857142857138
55,55.0,23720.0,23720,20440.666666666668,20561.904761904756
56,56.0,16800.0,16800,19962.666666666668,20106.19047619047
57,57.0,16800.0,16800,19484.66666666667,19650.476190476187
58,58.0,16800.0,16800,19006.66666666667,19194.7619047619
59,59.0,16800.0,16800,18466.000000000004,18808.571428571424
60,60.0,16550.0,16550,17925.333333333336,18422.380952380943
61,61.0,16550.0,16550,17384.66666666667,18036.190476190466
62,62.0,16550.0,16550,16844.000000000004,17649.99999999999
63,63.0,16550.0,16550,16303.333333333336,17263.809523809516
64,64.0,16550.0,16550,16224.000000000002,16877.619047619042
65,65.0,16550.0,16550,16144.666666666668,16491.428571428565
66,66.0,15610.0,15610,16065.333333333334,16105.23809523809
67,67.0,15610.0,15610,15986.000000000002,16048.571428571422
68,68.0,15610.0,15610,15923.333333333336,15991.904761904756
69,69.0,15610.0,15610,15860.66666666667,15935.238095238088
70,70.0,15610.0,15610,15798.000000000002,15878.571428571422
71,71.0,15610.0,15610,15735.333333333336,15833.809523809517
72,72.0,15610.0,15610,15672.66666666667,15789.047619047613
73,73.0,15610.0,15610,15610.000000000004,15744.285714285708
74,74.0,15610.0,15610,15610.000000000004,15704.047619047613
75,75.0,15610.0,15610,15610.000000000004,15663.809523809517
76,76.0,15610.0,15610,15610.000000000004,15623.571428571422
77,77.0,15610.0,15610,15616.333333333338,15623.571428571422
78,78.0,15610.0,15610,15622.66666666667,15623.571428571422
79,79.0,15610.0,15610,15629.000000000004,15623.571428571422
80,80.0,15610.0,15610,15629.000000000004,15647.14285714285
81,81.0,15610.0,15610,15629.000000000004,15670.714285714277
82,82.0,15610.0,15610,15629.000000000005,15694.285714285706
83,83.0,15610.0,15610,15662.000000000004,15717.857142857136
84,84.0,15705.0,15705,15695.000000000004,15760.476190476184
85,85.0,15705.0,15705,15728.000000000004,15803.095238095233
86,86.0,15705.0,15705,15761.000000000004,15845.71428571428
87,87.0,15610.0,15610,15820.66666666667,15888.333333333328
88,88.0,15610.0,15610,15880.333333333338,15930.952380952376
89,89.0,15610.0,15610,15940.000000000004,15973.571428571424
90,90.0,16105.0,16105,15999.66666666667,16016.190476190472
91,91.0,16105.0,16105,16059.333333333336,16995.476190476184
92,92.0,16105.0,16105,16112.666666666668,17974.761904761897
93,93.0,16105.0,16105,16166.000000000002,18954.04761904761
94,94.0,16505.0,16505,17530.666666666668,19966.666666666657
95,95.0,16505.0,16505,18901.66666666667,20974.761904761894
96,96.0,16505.0,16505,20272.66666666667,21982.85714285713
97,97.0,16505.0,16505,21690.33333333334,22990.952380952374
98,98.0,16505.0,16505,23075.000000000007,24003.571428571417
99,99.0,16505.0,16505,24459.66666666667,25016.190476190463
100,100.0,16505.0,16505,25844.333333333336,25995.47619047618
101,101.0,36175.0,36175,27229.000000000004,26951.190476190463
102,102.0,36175.0,36175,28587.000000000004,27906.90476190475
103,103.0,36175.0,36175,29898.333333333336,28754.5238095238
104,104.0,36875.0,36875,31209.666666666668,29602.142857142844
105,105.0,36875.0,36875,32521.000000000004,30430.71428571427
106,106.0,36875.0,36875,33681.00000000001,31189.047619047607
107,107.0,36875.0,36875,34841.00000000001,31947.38095238094
108,108.0,36875.0,36875,36001.0,32705.71428571427
109,109.0,36875.0,36875,35751.333333333336,33464.047619047604
110,110.0,36175.0,36175,35501.66666666667,34205.238095238084
111,111.0,36175.0,36175,35252.00000000001,34946.428571428565
112,112.0,36175.0,36175,34955.66666666667,34750.952380952374
113,113.0,33905.0,33905,34635.333333333336,34555.47619047618
114,114.0,33905.0,33905,34315.00000000001,34359.999999999985
115,115.0,33905.0,33905,33994.66666666667,34040.71428571427
116,116.0,32430.0,32430,33674.33333333334,33721.42857142856
117,117.0,32430.0,32430,33354.00000000001,33402.14285714284
118,118.0,32430.0,32430,32953.66666666667,33082.85714285712
119,119.0,32430.0,32430,32553.333333333336,32763.57142857141
120,120.0,32070.0,32070,32153.000000000004,32561.238095238077
121,121.0,32070.0,32070,31904.000000000004,32392.23809523808
122,122.0,32070.0,32070,31655.000000000007,32223.23809523809
123,123.0,32070.0,32070,31569.73333333334,32054.238095238088
124,124.0,32070.0,32070,31582.800000000007,32055.238095238084
125,125.0,30170.0,30170,31595.866666666672,32056.238095238088
126,126.0,30170.0,30170,31608.93333333334,32057.238095238088
127,127.0,30170.0,30170,31708.66666666667,32128.476190476184
128,128.0,30170.0,30170,31832.400000000005,32199.71428571428
129,129.0,30170.0,30170,31956.13333333334,32270.95238095237
130,130.0,32626.0,32626,32079.866666666672,32342.190476190463
131,131.0,32626.0,32626,32203.600000000006,32430.571428571413
132,132.0,32626.0,32626,32327.333333333336,32518.952380952363
133,133.0,32626.0,32626,32577.733333333334,32607.333333333314
134,134.0,33926.0,33926,32828.13333333333,32695.714285714268
135,135.0,33926.0,33926,33078.53333333333,32511.71428571427
136,136.0,33926.0,33926,33328.933333333334,32418.190476190463
137,137.0,33926.0,33926,33579.333333333336,32324.666666666653
138,138.0,33926.0,33926,33284.66666666667,32231.142857142848
139,139.0,33926.0,33926,32990.0,32137.61904761904
140,140.0,33926.0,33926,32695.33333333334,32044.09523809523
141,141.0,33926.0,33926,32400.66666666667,31833.619047619035
142,142.0,33926.0,33926,32019.33333333334,31592.190476190463
143,143.0,33926.0,33926,31638.000000000007,31293.619047619035
144,144.0,33926.0,33926,31256.666666666675,30995.047619047604
145,145.0,28206.0,28206,30832.00000000001,30634.571428571413
146,146.0,28206.0,28206,30327.33333333334,30274.095238095222
147,147.0,28206.0,28206,29822.66666666667,29913.619047619035
148,148.0,28206.0,28206,29318.0,29510.761904761897
149,149.0,28206.0,28206,28813.333333333336,29107.904761904752
150,150.0,28206.0,28206,28308.66666666667,28705.047619047604
151,151.0,28206.0,28206,27744.66666666667,28302.190476190466
152,152.0,27556.0,27556,27180.66666666667,27899.33333333332
153,153.0,26356.0,26356,26998.000000000004,27496.476190476184
154,154.0,26356.0,26356,26815.33333333334,26878.809523809516
155,155.0,26356.0,26356,26632.66666666667,26261.142857142844
156,156.0,26356.0,26356,26450.000000000004,25915.857142857134
157,157.0,26356.0,26356,25966.600000000002,25581.047619047615
158,158.0,25466.0,25466,25483.2,25246.23809523809
159,159.0,25466.0,25466,24999.800000000003,24900.952380952374
160,160.0,25466.0,25466,24574.400000000005,24555.666666666657
161,161.0,25466.0,25466,24229.000000000004,24210.380952380943
162,162.0,25466.0,25466,23868.933333333338,23865.09523809523
163,163.0,25466.0,25466,23508.866666666672,23550.7619047619
164,164.0,20955.0,20955,23148.800000000003,23293.571428571424
165,165.0,20955.0,20955,22788.733333333337,23146.66666666666
166,166.0,20955.0,20955,22488.000000000004,22999.7619047619
167,167.0,21175.0,21175,22187.26666666667,22852.857142857138
168,168.0,21175.0,21175,22040.933333333338,22705.952380952378
169,169.0,20955.0,20955,21894.600000000002,22601.42857142857
170,170.0,20955.0,20955,21748.26666666667,22496.90476190476
171,171.0,20955.0,20955,21601.933333333338,22392.38095238095
172,172.0,20955.0,20955,21756.33333333334,22287.85714285714
173,173.0,20955.0,20955,21910.733333333337,22183.33333333333
174,174.0,20955.0,20955,22065.133333333342,22078.80952380952
175,175.0,23271.0,23271,22204.866666666672,22189.095238095233
176,176.0,23271.0,23271,22344.600000000006,22299.380952380947
177,177.0,23271.0,23271,22499.000000000004,22409.66666666666
178,178.0,23271.0,23271,22653.4,22509.476190476184
179,179.0,23271.0,23271,22807.800000000003,22609.285714285706
180,180.0,23271.0,23271,22962.2,22719.57142857142
181,181.0,23271.0,23271,23116.600000000002,22801.285714285706
182,182.0,23271.0,23271,23271.0,22882.999999999993
183,183.0,23271.0,23271,23271.0,22964.71428571428
184,184.0,23271.0,23271,23231.0,23046.42857142856
185,185.0,23271.0,23271,23191.0,23128.142857142848
186,186.0,23271.0,23271,23151.0,23099.571428571417
187,187.0,23271.0,23271,23111.0,23070.99999999999
188,188.0,23271.0,23271,23071.0,23042.42857142856
189,189.0,23271.0,23271,23031.0,23013.857142857134
190,190.0,23271.0,23271,22991.0,22985.285714285706
191,191.0,22671.0,22671,22951.0,22956.71428571428
192,192.0,22671.0,22671,22911.0,23296.476190476184
193,193.0,22671.0,22671,22871.0,23636.238095238084
194,194.0,22671.0,22671,22831.0,23975.999999999985
195,195.0,22671.0,22671,23306.666666666668,24315.76190476189
196,196.0,22671.0,22671,23782.333333333336,24655.5238095238
197,197.0,22671.0,22671,24258.000000000004,24995.2857142857
198,198.0,22671.0,22671,24733.666666666668,25335.047619047604
199,199.0,22671.0,22671,25249.333333333336,25674.809523809512
200,200.0,22671.0,22671,25765.000000000004,26014.57142857142
201,201.0,22671.0,22671,26280.66666666667,26354.333333333325
202,202.0,30406.0,30406,26796.33333333334,26722.66666666666
203,203.0,30406.0,30406,27312.000000000007,27090.999999999993
204,204.0,30406.0,30406,27827.666666666675,27459.333333333325
205,205.0,30406.0,30406,28343.33333333334,27827.666666666657
206,206.0,30406.0,30406,28859.000000000007,28195.99999999999
207,207.0,30406.0,30406,29374.666666666675,28564.33333333332
208,208.0,30406.0,30406,29890.33333333334,28932.666666666657
209,209.0,30406.0,30406,30406.000000000007,29300.999999999993
210,210.0,30406.0,30406,30406.000000000007,29669.333333333325
211,211.0,30406.0,30406,30406.000000000007,30037.666666666657
212,212.0,30406.0,30406,30406.000000000007,30405.999999999993
213,213.0,30406.0,30406,30406.000000000007,30405.999999999993
214,214.0,30406.0,30406,30406.000000000007,30405.999999999993
215,215.0,30406.0,30406,30406.000000000007,30405.999999999993
216,216.0,30406.0,30406,30406.000000000007,30405.999999999993
217,217.0,30406.0,30406,30406.000000000007,30405.999999999993
218,218.0,30406.0,30406,30406.000000000007,30405.999999999993
219,219.0,30406.0,30406,30406.000000000007,30405.999999999993
220,220.0,30406.0,30406,30406.000000000007,30405.999999999993
221,221.0,30406.0,30406,30406.000000000007,30405.999999999993
222,222.0,30406.0,30406,30406.000000000007,30405.999999999993
223,223.0,30406.0,30406,30406.000000000007,30405.999999999993
224,224.0,30406.0,30406,30406.000000000007,30405.999999999993
225,225.0,30406.0,30406,30406.000000000007,29981.42857142856
226,226.0,30406.0,30406,30406.000000000007,29556.857142857134
227,227.0,30406.0,30406,30406.000000000007,29132.285714285706
228,228.0,30406.0,30406,29811.600000000006,28707.71428571428
229,229.0,30406.0,30406,29217.200000000008,28283.14285714285
230,230.0,30406.0,30406,28622.800000000007,27858.571428571424
231,231.0,30406.0,30406,28028.400000000005,27433.999999999996
232,232.0,30406.0,30406,27434.000000000007,27009.42857142857
233,233.0,30406.0,30406,26839.600000000006,26584.85714285714
234,234.0,30406.0,30406,26245.200000000004,26160.285714285714
235,235.0,21490.0,21490,25650.800000000003,25735.714285714283
236,236.0,21490.0,21490,25056.4,25311.14285714285
237,237.0,21490.0,21490,24462.0,24886.57142857142
238,238.0,21490.0,21490,23867.6,24613.666666666657
239,239.0,21490.0,21490,23273.2,24340.761904761894
240,240.0,21490.0,21490,22678.8,24067.85714285713
241,241.0,21490.0,21490,22296.733333333334,23794.952380952367
242,242.0,21490.0,21490,21914.666666666668,23522.047619047604
243,243.0,21490.0,21490,22127.0,23026.90476190475
244,244.0,21490.0,21490,22339.333333333332,22531.761904761894
245,245.0,21490.0,21490,22551.666666666668,22036.619047619035
246,246.0,21490.0,21490,22452.86666666667,21966.047619047607
247,247.0,21490.0,21490,22354.066666666673,21895.47619047618
248,248.0,24675.0,24675,22255.266666666674,21824.904761904752
249,249.0,24675.0,24675,22156.46666666667,21754.333333333325
250,250.0,24675.0,24675,22057.66666666667,21449.476190476184
251,251.0,24675.0,24675,21958.866666666672,21144.61904761904
252,252.0,24675.0,24675,21860.06666666667,20839.761904761897
253,253.0,20008.0,20008,21433.266666666666,20534.904761904756
254,254.0,20008.0,20008,21006.46666666667,20230.047619047615
255,255.0,20008.0,20008,20579.666666666668,19925.19047619047
256,256.0,20008.0,20008,19940.533333333336,19620.33333333333
257,257.0,20008.0,20008,19301.4,19315.476190476187
258,258.0,20008.0,20008,18662.266666666666,19010.619047619046
259,259.0,20008.0,20008,18023.133333333335,18554.095238095237
260,260.0,15088.0,15088,17384.0,18097.571428571428
261,261.0,15088.0,15088,17056.0,17641.04761904762
262,262.0,15088.0,15088,16728.0,17184.523809523806
263,263.0,15088.0,15088,16400.0,17130.857142857138
264,264.0,15088.0,15088,16072.000000000002,17299.428571428565
265,265.0,15088.0,15088,15744.000000000002,17467.999999999993
266,266.0,15088.0,15088,15980.000000000002,17636.571428571417
267,267.0,15088.0,15088,16216.000000000002,17805.142857142848
268,268.0,15088.0,15088,16780.0,17973.71428571428
269,269.0,15088.0,15088,17344.0,18142.285714285706
270,270.0,15088.0,15088,17908.0,18310.857142857138
271,271.0,15088.0,15088,18472.000000000004,18713.71428571428
272,272.0,15088.0,15088,19036.000000000004,19116.57142857142
273,273.0,23548.0,23548,19600.000000000004,19519.428571428565
274,274.0,23548.0,23548,20164.000000000004,19922.285714285706
275,275.0,23548.0,23548,20728.000000000004,20325.142857142848
276,276.0,23548.0,23548,21292.000000000004,20727.99999999999
277,277.0,23548.0,23548,21856.000000000004,21130.85714285713
278,278.0,23548.0,23548,22420.000000000004,21533.714285714275
279,279.0,23548.0,23548,22984.000000000004,21936.57142857142
280,280.0,23548.0,23548,23548.000000000004,22339.42857142856
281,281.0,23548.0,23548,23548.000000000004,22742.285714285703
282,282.0,23548.0,23548,23548.000000000004,23145.142857142848
283,283.0,23548.0,23548,23548.000000000004,23547.999999999985
284,284.0,23548.0,23548,23548.000000000004,23547.999999999985
285,285.0,23548.0,23548,23548.000000000004,23547.999999999985
286,286.0,23548.0,23548,23548.000000000004,23547.999999999985
287,287.0,23548.0,23548,23548.000000000004,23547.999999999985
288,288.0,23548.0,23548,23548.000000000004,23547.999999999985
289,289.0,23548.0,23548,23548.000000000004,23262.61904761904
290,290.0,23548.0,23548,23548.000000000004,22977.238095238084
291,291.0,23548.0,23548,23548.000000000004,22691.857142857134
292,292.0,23548.0,23548,23148.46666666667,22406.47619047618
293,293.0,23548.0,23548,22748.933333333338,22121.09523809523
294,294.0,23548.0,23548,22349.400000000005,21812.85714285713
295,295.0,23548.0,23548,21949.866666666672,21504.61904761904
296,296.0,23548.0,23548,21550.33333333334,21196.38095238094
297,297.0,23548.0,23548,21118.800000000003,20888.142857142848
298,298.0,23548.0,23548,20687.26666666667,20579.904761904752
299,299.0,17555.0,17555,20255.733333333337,20271.66666666666
300,300.0,17555.0,17555,19824.200000000004,19963.42857142856
301,301.0,17555.0,17555,19392.66666666667,19655.190476190466
302,302.0,17555.0,17555,18961.13333333334,19346.952380952374
303,303.0,17555.0,17555,18529.600000000006,19038.71428571428
304,304.0,17075.0,17075,18098.066666666673,18730.476190476184
305,305.0,17075.0,17075,17666.53333333334,18422.238095238088
306,306.0,17075.0,17075,17235.000000000004,18113.999999999996
307,307.0,17075.0,17075,17203.000000000004,17805.761904761897
308,308.0,17075.0,17075,17171.000000000004,17497.523809523802
309,309.0,17075.0,17075,17139.000000000004,16922.619047619042
310,310.0,17075.0,17075,17107.000000000004,16633.095238095233
311,311.0,17075.0,17075,17075.000000000004,16343.57142857142
312,312.0,17075.0,17075,16701.66666666667,16054.047619047611
313,313.0,17075.0,17075,16328.333333333338,15764.523809523804
314,314.0,17075.0,17075,15955.000000000004,15474.999999999993
315,315.0,17075.0,17075,15581.66666666667,15208.333333333327
316,316.0,17075.0,17075,15208.333333333336,14941.66666666666
317,317.0,17075.0,17075,14835.000000000002,14674.999999999995
318,318.0,17075.0,17075,14461.66666666667,14408.333333333328
319,319.0,11475.0,11475,14088.333333333336,14141.666666666662
320,320.0,11475.0,11475,13715.000000000002,13874.999999999996
321,321.0,11475.0,11475,13341.666666666668,13608.33333333333
322,322.0,11475.0,11475,12968.333333333334,13341.666666666664
323,323.0,11475.0,11475,12595.000000000002,13074.999999999998
324,324.0,11475.0,11475,12221.666666666668,12808.333333333332
325,325.0,11475.0,11475,11848.333333333334,12541.666666666664
326,326.0,11475.0,11475,11475.000000000002,12274.999999999996
327,327.0,11475.0,11475,11475.000000000002,12008.33333333333
328,328.0,11475.0,11475,11475.000000000002,11741.666666666664
329,329.0,11475.0,11475,11475.000000000002,11474.999999999996
330,330.0,11475.0,11475,11475.000000000002,11474.999999999996
331,331.0,11475.0,11475,11475.000000000002,11474.999999999996
332,332.0,11475.0,11475,11475.000000000002,11474.999999999996
333,333.0,11475.0,11475,11475.000000000002,11474.999999999996
334,334.0,11475.0,11475,11475.000000000002,11474.999999999996
335,335.0,11475.0,11475,11475.000000000002,11474.999999999996
336,336.0,11475.0,11475,11475.000000000002,11474.999999999996
337,337.0,11475.0,11475,11475.000000000002,11474.999999999996
338,338.0,11475.0,11475,11475.000000000002,11474.999999999996
339,339.0,11475.0,11475,11475.000000000002,11474.999999999996
340,340.0,11475.0,11475,11475.000000000002,11474.999999999996
341,341.0,11475.0,11475,11475.000000000002,11474.999999999996
342,342.0,11475.0,11475,11475.000000000002,11474.999999999996
343,343.0,11475.0,11475,11475.000000000002,11474.999999999996
344,344.0,11475.0,11475,11475.000000000002,11474.999999999996
345,345.0,11475.0,11475,11475.000000000002,11474.999999999996
346,346.0,11475.0,11475,11475.000000000002,11474.999999999996
347,347.0,11475.0,11475,11475.000000000002,11474.999999999996
348,348.0,11475.0,11475,11475.000000000002,11474.999999999996
349,349.0,11475.0,11475,11475.000000000002,11474.999999999996
350,350.0,11475.0,11475,11475.000000000002,11531.190476190473
351,351.0,11475.0,11475,11475.000000000002,11587.380952380949
352,352.0,11475.0,11475,11475.000000000002,11643.571428571426
353,353.0,11475.0,11475,11553.666666666668,11699.761904761901
354,354.0,11475.0,11475,11632.333333333334,11755.952380952378
355,355.0,11475.0,11475,11711.000000000002,11812.142857142853
356,356.0,11475.0,11475,11789.666666666668,11868.33333333333
357,357.0,11475.0,11475,11868.333333333336,11924.523809523806
358,358.0,11475.0,11475,11947.000000000004,11980.71428571428
359,359.0,11475.0,11475,12025.66666666667,12036.904761904756
360,360.0,12655.0,12655,12104.333333333336,12093.095238095231
361,361.0,12655.0,12655,12183.000000000004,12149.285714285708
362,362.0,12655.0,12655,12261.66666666667,12205.476190476185
363,363.0,12655.0,12655,12340.333333333336,12261.666666666662
364,364.0,12655.0,12655,12419.000000000004,12317.85714285714
365,365.0,12655.0,12655,12497.66666666667,12374.047619047615
366,366.0,12655.0,12655,12576.333333333336,12430.238095238092
367,367.0,12655.0,12655,12655.000000000004,12486.428571428567
368,368.0,12655.0,12655,12655.000000000004,12542.619047619044
369,369.0,12655.0,12655,12655.000000000004,12598.80952380952
370,370.0,12655.0,12655,12655.000000000004,12654.999999999996
371,371.0,12655.0,12655,12655.000000000004,12654.999999999996
372,372.0,12655.0,12655,12655.000000000004,12654.999999999996
373,373.0,12655.0,12655,12655.000000000004,12654.999999999996
374,374.0,12655.0,12655,12655.000000000004,12654.999999999996
375,375.0,12655.0,12655,12655.000000000004,12654.999999999996
376,376.0,12655.0,12655,12655.000000000004,12584.047619047615
377,377.0,12655.0,12655,12655.000000000004,12513.095238095235
378,378.0,12655.0,12655,12655.000000000004,12442.142857142853
379,379.0,12655.0,12655,12555.66666666667,12371.190476190473
380,380.0,12655.0,12655,12456.333333333336,12300.238095238092
381,381.0,12655.0,12655,12357.000000000004,12229.285714285712
382,382.0,12655.0,12655,12257.66666666667,12158.33333333333
383,383.0,12655.0,12655,12158.333333333336,12087.380952380949
384,384.0,12655.0,12655,12059.000000000002,12016.428571428567
385,385.0,12655.0,12655,11959.666666666668,11945.476190476185
386,386.0,11165.0,11165,11860.333333333334,11874.523809523806
387,387.0,11165.0,11165,11761.0,11803.571428571424
388,388.0,11165.0,11165,11661.666666666666,11586.857142857138
389,389.0,11165.0,11165,11562.333333333332,11370.142857142851
390,390.0,11165.0,11165,11463.0,11153.428571428565
