13.6	6.2	0.8	5
17.3	6.3	1.9	3.333333333
29.6	6.4	2	3.333333333
81.1	16.1	2.1	2
119.9	10	3.9	5
120	10	4.2	5
119.8	10	4	5
6.8	4.3	0.2	10
27.7	6.9	0.4	10
46.3	11.6	0.5	5
96.7	16.1	2.4	1.428571429
93.8	18.8	1.9	3.333333333
174.6	8.9	2.6	1.25
0.01	0.1	0	10
0.01	2	0	10
0.01	5	0	10
0.01	10	0	10
0.01	20	0	10
