# Age	Deep_ocean_temp 	"(Scotese et al., ESR, 2021)"
611.4525306	4.8106346	
611.553665	4.7956228	
611.6138907	4.7866883	
611.6741164	4.7776899	
611.7343422	4.768537	
612.0917844	4.716485	
612.4492266	4.6640596	
612.8066689	4.6107774	
613.1641111	4.556612	
613.2664095	4.5409694	
613.3687079	4.5252652	
613.4710063	4.5095663	
613.5733047	4.4950142	
613.8433243	4.4539189	
614.1133439	4.4134173	
614.3833636	4.3736672	
614.6533832	4.3367529	
614.8392614	4.3157611	
615.0251396	4.303299	
615.2110177	4.2910671	
615.3968959	4.2791781	
615.4715589	4.2745838	
615.5462218	4.2700911	
615.6208847	4.2657337	
615.6955477	4.2615104	
615.7684477	4.2575655	
615.8413477	4.253726	
615.9142477	4.2499552	
615.9871477	4.2466393	
616.0600477	4.2456055	
616.8700477	4.2071528	
617.6800477	4.1717768	
618.4900477	4.1400533	
618.5710477	4.1369095	
618.6520477	4.1337643	
618.7330477	4.1306143	
618.8140477	4.1274595	
618.8950477	4.1242981	
618.9220477	4.1232419	
618.9490477	4.1221848	
618.9760477	4.1211271	
619.0030477	4.1200633	
619.0300477	4.1188331	
619.3300477	4.1068883	
619.6300477	4.095437	
619.9300477	4.0829277	
620.2300477	4.0701361	
620.7720253	4.0469379	
621.3140029	4.0239205	
621.8559805	4.001018	
622.3979581	3.9781976	
622.9399357	3.9556005	
623.2612255	3.9422426	
623.5825153	3.9290071	
623.9038051	3.9158912	
624.2250949	3.9029229	
624.3321374	3.8987546	
624.4391799	3.894671	
624.5462223	3.8906746	
624.6532648	3.886729	
624.7603073	3.8834054	
625.1171156	3.8701596	
625.3382689	3.8625805	
625.5594222	3.8547339	
625.7805755	3.8459692	
626.0017287	3.8297455	
626.7389063	3.7762375	
627.0137909	3.7554541	
627.2886755	3.7348561	
627.5635601	3.7144849	
627.8384447	3.6937604	
628.1133292	3.6724112	
628.2831603	3.6592729	
628.4529914	3.6462026	
628.6228225	3.6332045	
628.7926536	3.6199112	
628.9624847	3.6053002	
629.1323158	3.5901003	
629.1715047	3.5865085	
629.2106935	3.5828676	
629.2498824	3.5791755	
629.2890712	3.5753889	
629.32826	3.5710685	
629.4588895	3.557822	
629.6177301	3.5382171	
629.7765707	3.5200667	
629.9354112	3.4958491	
630.0942518	3.4678922	
630.1502711	3.4585824	
630.2062904	3.4496484	
630.2623098	3.4411488	
630.3183291	3.433006	
630.3743484	3.4270849	
630.4913349	3.4142849	
630.6083214	3.4057429	
630.7253079	3.4039426	
630.8422944	3.404783	
630.8962085	3.4094884	
630.9501227	3.4168551	
631.0040368	3.4285469	
631.1166419	3.4523916	
631.2086628	3.4719827	
631.3006837	3.4915323	
631.3927046	3.511163	
631.4847254	3.5308564	
631.5343595	3.5415573	
631.5839936	3.5522778	
631.6336276	3.5631611	
631.7292836	3.5841179	
631.8249396	3.6056042	
631.9205956	3.6260798	
632.0162517	3.6426826	
632.0546458	3.6493242	
632.09304	3.6559525	
632.1314342	3.6625695	
632.1698283	3.6686907	
632.5964302	3.740998	
632.642035	3.7485261	
632.6876397	3.7560148	
632.7332445	3.7634652	
632.7788493	3.7709396	
632.9308651	3.7952166	
633.082881	3.8188653	
633.2423097	3.8432899	
633.4017385	3.8673847	
633.5611672	3.8908699	
633.7205959	3.9137778	
633.8800246	3.9364429	
633.9612877	3.9479442	
634.0425509	3.9593871	
634.123814	3.9708364	
634.2050771	3.9824567	
634.2863402	3.9950397	
634.4719402	4.0231895	
634.6575401	4.051177	
634.84314	4.0799356	
635.02874	4.1218576	
635.2143399	4.1814847	
635.3563252	4.2268114	
635.4983104	4.270319	
635.6402957	4.308847	
635.7822809	4.3467693	
635.8517659	4.3607469	
635.921251	4.3718767	
635.990736	4.3781257	
636.2223527	4.3949003	
636.2995583	4.4004889	
636.3767639	4.406086	
636.4539694	4.4116793	
636.6037931	4.4225101	
636.7536167	4.4334655	
636.9034404	4.4446201	
636.9533816	4.4483457	
637.0033228	4.452105	
637.053264	4.4558673	
637.0699111	4.4571204	
637.0865582	4.458374	
