# Age (Ma)	ContArcLength (km)
99	37500
99.5	37500
100	37500
100.5	37500
101	37500
101.5	37500
102	37500
102.5	37500
103	37500
103.5	37500
104	37500
104.5	37500
105	37500
105.5	35750
106	34000
106.5	34000
107	34000
107.5	34000
108	34000
108.5	34000
109	34000
109.5	34000
110	34000
110.5	34000
111	34000
111.5	34000
112	34000
112.5	34000
113	34000
113.5	34000
114	34000
114.5	34000
115	34000
115.5	34000
116	34000
116.5	34000
117	34000
117.5	34000
118	34000
118.5	34000
119	34000
119.5	32570
120	31140
120.5	31140
121	31140
121.5	31140
122	31140
122.5	31140
123	31140
123.5	31140
124	31140
124.5	31140
125	31140
125.5	31140
126	31140
126.5	31140
127	31140
127.5	31140
128	31140
128.5	31140
129	31140
129.5	31140
130	31140
130.5	31140
131	31140
131.5	31140
132	31140
132.5	31140
133	31140
133.5	31140
134	31140
134.5	31140
135	31140
135.5	31140
136	31140
136.5	31140
137	31140
137.5	31140
138	31140
138.5	31140
139	31140
139.5	31140
140	31140
140.5	31140
141	31140
141.5	31140
142	31140
142.5	31140
143	31140
143.5	30940
144	30740
144.5	30740
145	30740
145.5	30740
146	30740
146.5	30740
147	30740
147.5	30740
148	30740
148.5	31940
149	33140
149.5	33140
150	33140
150.5	33140
151	33140
151.5	33140
152	33140
152.5	33140
153	33140
153.5	33140
154	33140
154.5	33140
155	33140
155.5	33140
156	33140
156.5	33140
157	33140
157.5	33140
158	33140
158.5	33140
159	33140
159.5	32940
160	32740
160.5	32740
161	32740
161.5	32740
162	32740
162.5	32740
163	32740
163.5	32740
164	32740
164.5	32740
165	32740
165.5	32740
166	32740
166.5	32740
167	32740
167.5	32740
168	32740
168.5	32170
169	31600
169.5	31600
170	31600
170.5	31600
171	31600
171.5	31600
172	31600
172.5	31600
173	31600
173.5	31600
174	31600
174.5	31600
175	31600
175.5	31600
176	31600
176.5	31600
177	31600
177.5	31600
178	31600
178.5	31600
179	31600
179.5	31600
180	31600
180.5	31600
181	31600
181.5	31600
182	31600
182.5	31600
183	31600
183.5	31600
184	31600
184.5	31600
185	31600
185.5	31600
186	31600
186.5	31600
187	31600
187.5	31600
188	31600
188.5	31600
189	31600
189.5	31600
190	31600
190.5	31600
191	31600
191.5	31600
192	31600
192.5	31600
193	31600
193.5	31600
194	31600
194.5	31600
195	31600
195.5	31600
196	31600
196.5	31600
197	31600
197.5	31600
198	31600
198.5	26700
199	21800
