# age (Ma) paleotemperature mean, min, max (deg C)
173.00	19.05	11.88	26.22
174.00	19.03	11.84	26.22
175.00	19.02	11.81	26.23
176.00	19.01	11.78	26.24
177.00	19.00	11.76	26.24
178.00	19.00	11.74	26.26
179.00	19.00	11.73	26.28
180.00	19.01	11.72	26.30
181.00	19.02	11.72	26.33
182.00	19.04	11.72	26.36
183.00	19.06	11.72	26.40
184.00	19.08	11.72	26.44
185.00	19.11	11.73	26.48
186.00	19.14	11.75	26.53
187.00	19.18	11.77	26.59
188.00	19.22	11.80	26.64
189.00	19.27	11.84	26.70
190.00	19.33	11.88	26.77
191.00	19.39	11.93	26.84
192.00	19.46	11.99	26.92
193.00	19.54	12.06	27.02
194.00	19.64	12.15	27.13
195.00	19.76	12.26	27.26
196.00	19.90	12.39	27.41
197.00	20.07	12.55	27.58
198.00	20.27	12.75	27.79
199.00	20.48	12.96	28.01
200.00	20.70	13.17	28.24
201.00	20.93	13.38	28.48
202.00	21.15	13.59	28.72
203.00	21.38	13.80	28.96
204.00	21.61	14.01	29.20
205.00	21.83	14.22	29.44
206.00	22.06	14.44	29.68
207.00	22.28	14.65	29.91
208.00	22.50	14.86	30.14
209.00	22.72	15.07	30.37
210.00	22.94	15.28	30.59
211.00	23.16	15.50	30.82
212.00	23.37	15.71	31.04
213.00	23.57	15.89	31.25
214.00	23.74	16.03	31.46
215.00	23.90	16.14	31.66
216.00	24.03	16.24	31.82
217.00	24.15	16.35	31.94
218.00	24.25	16.45	32.04
219.00	24.33	16.55	32.12
220.00	24.41	16.64	32.19
221.00	24.49	16.71	32.26
222.00	24.56	16.78	32.33
223.00	24.62	16.85	32.40
224.00	24.69	16.91	32.47
225.00	24.76	16.97	32.54
226.00	24.82	17.03	32.61
227.00	24.89	17.09	32.68
228.00	24.95	17.14	32.75
229.00	25.01	17.20	32.82
230.00	25.07	17.25	32.90
231.00	25.14	17.30	32.97
232.00	25.20	17.36	33.04
233.00	25.26	17.41	33.11
234.00	25.32	17.46	33.18
235.00	25.38	17.52	33.25
236.00	25.45	17.57	33.32
237.00	25.51	17.63	33.39
238.00	25.57	17.68	33.46
239.00	25.64	17.74	33.54
240.00	25.70	17.79	33.61
241.00	25.76	17.85	33.68
242.00	25.83	17.91	33.75
243.00	25.89	17.97	33.82
244.00	25.96	18.03	33.89
245.00	26.03	18.10	33.96
246.00	26.10	18.17	34.03
247.00	26.18	18.25	34.11
248.00	26.26	18.33	34.18
249.00	26.34	18.42	34.25
250.00	26.42	18.51	34.33
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
