time,100_km,150_km,200_km,ocean
0,28360.6532193401,39500.1269274131,44309.4992437288,22870.7941453572
10,30896.1180214663,42598.5551478515,46421.4557399789,21169.9478705096
20,30857.1619865852,43285.5459130534,48059.6437652014,27963.2020204016
30,30544.8181583801,43326.3059187594,48428.8264023785,25248.1118553844
40,33244.7284171265,45677.4253879598,51235.1035530639,24927.2154270317
50,29542.7635210874,41136.2190466058,47083.9154004403,30903.1539553704
60,33658.5801062694,44636.3551484671,49481.8476067126,27560.1588723659
70,26950.563261318,34579.4203319833,39024.6183200567,30131.5935131692
80,31908.4379012616,42451.8993081386,48453.9479456524,31055.6330813058
90,28134.8878569157,38382.7226098164,43951.8287860902,32471.7731166929
100,31203.4007493849,39059.5060175921,42846.8036277899,30450.7752638249
110,29662.4736045021,36419.2080342937,40251.5345568038,25754.5080064112
120,27933.7600907165,33479.4390922723,38342.7964509325,29190.0209515734
130,28276.2051642625,34259.9695504504,38986.3438826386,29060.9762158251
140,28344.1641854088,33782.9829306728,37590.0157984932,23855.7563162142
150,25943.8792144449,34098.5227696473,40708.9481703586,28039.4116389739
160,29643.6540886429,38415.9424662175,44578.7247216326,32136.9657589375
170,27118.6465905305,33626.3043298608,38872.1647489498,30168.8639781448
180,30191.6421704662,36307.882254275,40839.3748205382,26832.4111520961
190,27267.4727320899,35424.4830567574,39685.5039477862,29087.5689955529
200,25834.481027342,33498.6829369564,38974.5009435662,36366.6226353605
210,27297.4820108903,34196.3348580648,39547.0665987255,36679.9071445758
220,24384.4205408371,30419.2602955413,36817.2167323111,41848.80224924
230,23569.1314041355,31224.3952225192,35822.7944094449,42447.9807279271
240,23192.8700748718,26803.2381704741,30738.4706492629,34265.617535261
250,26326.298869791,31125.9375491069,34453.7987728144,34124.6506548129
260,27336.4614116737,37505.1859743087,45209.6156860378,55847.2023041183
270,21162.3899883971,28431.2702332179,33838.6715662416,55308.4917445753
280,15703.4534816561,26377.2921292438,30798.4509019038,48766.6379018472
290,17141.3556512504,26506.460201639,32029.6750273971,51340.2587348306
300,15246.7524363469,24236.0932844244,30131.6716772595,48855.2509266133
310,15324.5126899289,25842.2659768032,32828.4565927018,50508.2292788397
320,20539.837535984,30306.1667928639,36337.3458378825,54333.8494063934
330,17826.9220539694,27769.6819437908,32889.8597295276,54527.7710717226
340,13904.7871100579,20077.5928409975,24084.3795762214,45577.8161968447
350,18850.8455080217,24667.6259504952,29418.1527515987,51630.5085347548
360,14498.5519458236,20719.2570423003,25417.6367004535,51710.3691992818
370,14966.4768583794,22383.8675761621,28559.2159386794,50437.3690413113
380,19469.3913234086,33306.5329379803,44197.6907164838,56672.5132609905
390,18781.7291802231,29639.1519574471,38293.6727658985,55246.9044018312
400,19289.5662603686,33116.0945387407,42203.1601547303,56592.768067595
410,17377.096043881,29464.7099896308,38465.8188707603,56569.7595170094
420,15210.6840256831,23561.2472782705,30054.7225880981,47965.2651455775
430,15907.5421454948,25068.5111620055,30519.249256982,32078.3967441421
440,15160.3820637269,21970.5594055299,26449.1225100688,33641.9088918813
450,12548.3224467091,18351.0784974959,22113.7256931255,35232.6438111453
460,17253.5438296115,23357.0843387174,27517.1083363213,33398.9065250825
470,21474.2508249434,27492.2185736722,33527.9923427312,39663.5805228113
480,17803.5902497306,22609.6747619466,27166.8901941291,45766.1712867561
490,9450.73174109041,14099.1814568444,17656.2046229046,48500.8624968062
500,8570.23364284811,13158.4747639029,16033.5189941595,46167.9854313463
510,5481.06864816355,7898.03603084961,9613.14030182881,49299.8938720892
520,5468.36725342837,8099.30567745834,9630.79828372432,50760.1898569658
530,11600.7466851264,16781.728506068,19690.3970089204,43971.7836344524
