time,100_km,150_km,200_km,ocean
540,12865.6643345635,17638.5806868491,20453.4185498655,42449.7831381399
550,20485.4307763918,27579.0516193043,31494.193645352,41417.5153350706
560,25744.4408754721,34143.8553603411,40271.5589805228,32811.48293112
570,24035.1661702024,32803.2823619686,39993.5284974204,36118.1623397072
580,22288.2480006615,29289.6463672113,35768.0930822833,42306.309572282
590,22850.0190211859,30677.6441071242,36390.7158455436,41506.8080153645
600,21025.8097911894,29162.6114698648,34735.9250280851,36604.4641312057
610,18179.1289635085,25198.2375842353,30501.8602362795,35652.4597492838
620,18209.3949650586,23540.3452931493,29519.3121645829,35970.3619956862
630,18469.0071160532,22420.2939265029,26899.0029905708,35208.6597394586
640,17695.3583443332,21689.1557243869,24436.8514121071,30859.8110715695
650,20053.4788835532,24664.1866801015,27935.2477711625,32395.4247662561
660,17995.0721652159,23055.1621823009,26494.1949306808,26924.2554002651
670,18002.5943190017,22224.4727591109,26483.4504735311,28155.8251513862
680,20498.6767279067,26169.9776602831,30072.7207386235,28516.402118573
690,19803.89484016,25069.8399090134,28465.4060998349,29920.879921115
700,20227.1155992159,25459.1082702921,29729.8529547153,30005.1972109049
710,11900.4459440235,16331.9438616075,19891.7057540784,34727.5818849623
720,12615.6521931615,16078.5933034375,19526.0907332434,33796.5060562148
730,9678.07962872581,13585.2954078207,16739.9085763356,32194.4505018313
740,8552.96634374792,12299.8817098301,14977.1002140505,31238.5459678414
750,9634.2758838075,12844.7791249813,14742.916034329,31239.3887939577
760,7517.09659739617,10964.0846096634,13380.0602872695,21083.9687087619
770,8038.04903704211,11793.1904696306,13576.5712379664,20692.7358019486
780,8564.1166300458,11063.6102065917,13441.83610326,21582.348264148
790,8129.36343210065,11343.4738108103,12778.3342769268,20783.9517262165
800,8509.72813365788,11456.081621794,12477.0182502378,20892.5664090514
810,10203.4057519078,14324.4004262232,16275.6042671657,29753.8411052204
820,11837.0536906224,14522.9453738421,16230.0594828302,29869.3735552305
830,11346.5371002335,14444.0243339624,16349.1002666137,30494.9598344758
840,11192.577960848,14371.4640419474,16330.5857390062,30850.454604337
850,10750.124992863,14657.9598566153,16566.0794172061,30808.314238756
860,7976.57681484178,11354.7460461131,14376.4807690786,40784.7547722116
870,7399.38156129169,11403.0829843404,14513.9309307892,40370.9746696755
880,10000.8102135111,15566.1006219894,19453.6473220809,38818.9865773563
890,10944.9990334288,15566.7277954415,18956.1610172893,38907.5751977867
900,11539.0640144041,16321.7530764675,19657.8934723224,38254.7542745966
910,12915.9448789992,17775.535655918,22191.7249787683,39992.5543824236
920,10831.6102214234,17117.0275531885,20645.6291373884,40577.0469039525
930,10824.0541541434,16033.9869059582,19344.2292511986,41646.0320459323
940,10659.3553731783,15821.3441608955,18941.9608435045,42294.4398008013
950,9536.81536776645,15016.8433924293,18126.1895668968,42837.0520234548
960,13987.88029985,18168.1140128463,20230.2024852213,35086.6917781959
970,12012.1735822721,16792.7019634304,20154.4527318243,36135.8724112593
980,10908.6364197621,15402.2510052439,17543.0060652572,37384.2951415289
990,12057.5087996859,15522.3319407984,17313.5681515167,36890.4990316559
1000,11923.288567387,15271.7542280661,17379.4583242406,36752.9731241587
