# Age (Ma)	Total exposed land (Mio km2)
167.13	115.80
167.46	116.30
167.58	116.67
167.93	117.24
168.36	117.74
168.39	118.11
168.59	118.42
168.76	118.83
169.00	119.33
169.26	119.60
169.71	120.03
169.83	120.40
170.16	120.96
170.64	121.47
170.83	122.19
171.06	122.47
171.51	122.91
171.63	123.27
171.96	123.77
172.08	124.13
172.41	124.63
172.53	125.00
172.86	125.49
172.98	125.86
173.31	126.35
173.43	126.72
173.76	127.21
173.88	127.58
174.21	128.08
174.33	128.44
174.66	128.94
174.78	129.30
175.11	129.80
175.24	130.17
175.56	130.66
175.69	131.03
176.01	131.52
176.14	131.89
176.59	132.46
176.91	132.96
177.04	133.33
177.49	133.90
177.83	134.47
178.28	135.05
178.73	135.62
179.16	136.18
179.61	136.55
180.06	136.84
180.51	137.12
181.18	137.45
181.86	137.55
182.44	137.47
182.93	137.27
183.27	137.12
183.76	136.98
184.34	136.69
184.79	136.41
185.24	136.12
185.69	135.83
186.27	135.41
186.41	135.17
187.04	134.68
187.49	134.40
187.94	134.11
188.39	133.82
188.84	133.53
189.36	133.20
189.96	132.96
190.54	132.88
191.03	132.67
191.37	132.53
191.76	132.38
192.34	132.30
193.24	132.09
194.01	131.81
194.59	131.73
195.37	131.52
195.82	131.52
196.27	131.52
196.84	131.44
197.62	131.24
198.17	131.24
198.84	131.52
199.56	131.53
200.09	131.67
200.45	131.82
201.34	132.26
202.12	132.82
202.57	133.10
203.09	133.44
203.59	133.90
203.92	134.22
204.14	134.43
204.49	134.76
204.82	135.08
205.04	135.29
205.39	135.62
205.64	135.88
206.17	136.26
206.62	136.61
207.16	136.99
207.74	137.59
208.52	138.04
209.32	138.13
209.77	138.13
210.22	138.13
210.79	138.13
211.31	138.02
211.99	137.59
212.69	137.06
213.28	136.55
213.42	136.32
214.18	135.69
214.32	135.46
215.08	134.83
215.22	134.59
215.88	134.00
216.53	133.24
217.33	132.53
217.47	132.30
218.10	131.81
218.55	131.52
219.07	131.19
219.67	130.95
220.25	130.87
221.17	130.67
221.70	130.80
222.50	130.96
223.49	131.47
223.86	131.56
224.62	131.95
225.20	132.26
226.14	132.84
226.56	132.97
227.32	133.39
227.99	133.76
228.36	133.85
229.34	134.29
230.02	134.40
230.57	134.40
231.25	134.68
231.82	134.68
232.27	134.68
232.73	134.68
233.18	134.68
233.63	134.68
234.08	134.68
234.53	134.68
234.98	134.68
235.43	134.68
235.88	134.68
236.33	134.68
236.90	134.60
237.68	134.40
238.25	134.38
239.03	134.11
239.60	134.10
240.50	133.74
240.90	133.58
241.50	133.25
241.95	132.96
242.54	132.63
243.30	132.38
243.89	131.96
244.53	131.40
245.10	130.95
245.55	130.66
246.00	130.37
246.45	130.09
247.05	129.74
247.64	129.40
248.31	129.12
248.70	128.79
249.10	128.65
249.44	128.51
250.00	128.28
